name,category,equipment,Séries,Repetições,Carga,Intervalo (seg),description
Supino Reto com Barra,Peito,Barra,,,,,Manter a coluna neutra e cotovelos em ângulo de 90°
Supino Inclinado com Barra,Peito,Barra,,,,,"Inclinação de 30-45°, foca a parte superior do peito"
Supino Declinado com Barra,Peito,Barra,,,,,Foca a parte inferior do peito
Supino Reto com Halteres,Peito,Halteres,,,,,Permite maior amplitude de movimento
Supino Inclinado com Halteres,Peito,Halteres,,,,,"Realizar com controle, focando a parte superior"
Supino Declinado com Halteres,Peito,Halteres,,,,,Focar no movimento descendente do haltere
Crucifixo Reto com Halteres,Peito,Halteres,,,,,"Braços levemente flexionados, evite esticar demais"
Crucifixo Inclinado com Halteres,Peito,Halteres,,,,,Executar com cuidado para evitar lesões no ombro
Crucifixo Declinado com Halteres,Peito,Halteres,,,,,Foca a parte inferior do peito
Peck Deck,Peito,Máquina,,,,,Evitar esticar completamente os braços na volta
Crossover,Peito,Crossover (polia),,,,,Puxar as polias até que as mãos se encontrem à frente
Pullover com Halteres,Peito,Halteres,,,,,Foca no alongamento do peito e no controle
Flexão de Braço (Push-up),Peito,Peso Corporal,,,,,"Manter corpo reto, cotovelos alinhados com ombros"
Flexão com Pés Elevados,Peito,Peso Corporal + Elevação,,,,,Aumenta o foco na parte superior do peito
Flexão Diamante,Peito,Peso Corporal,,,,,"Mãos próximas, foca peito e tríceps"
Chest Press na Máquina,Peito,Máquina,,,,,Ajuste a altura do assento para alinhar com o peito
Crossover Inclinado (Polia),Peito,Crossover (polia),,,,,Incline-se ligeiramente para ativar a parte superior
Crossover Declinado (Polia),Peito,Crossover (polia),,,,,"Inclinação para baixo, focando parte inferior do peito"
Flexão com Uma Mão,Peito,Peso Corporal,,,,,Fortalece o peito com ênfase na estabilidade
Supino com Pegada Neutra,Peito,Halteres/Barra,,,,,Pegada neutra reduz tensão nos ombros
Fly Inclinado no Smith,Peito,Máquina (Smith),,,,,Variação controlada do supino inclinado
Fly Reto na Máquina,Peito,Máquina,,,,,Alternativa ao crucifixo com halteres
Flexão Explosiva,Peito,Peso Corporal,,,,,Foco em força e explosão para peito e ombros
Pressão com Faixa Elástica,Peito,Faixa Elástica,,,,,Foco em resistência e estabilidade
Barra Fixa,Costas,Peso Corporal,,,,,"Manter o core firme, evitar balanços"
